company1,company2,similarity,block_key,company1_processed,company2_processed,idx1,idx2,component_id,component_size
Federation Francaise des Geiq,Fédération Française des Geiq,1.0,name_first_word_federation,federation francaise des geiq,federation francaise des geiq,33385,22115,122,3
Ferme Rubi,Ferme Rubi,1.0,name_first_word_ferme,ferme rubi,ferme rubi,28353,11229,123,2
Fideos Aurora,Fideos Aurora,1.0,name_first_word_fideos,fideos aurora,fideos aurora,33041,1996,124,2
Fincas Martín Sanz,Fincas Martín Sanz,1.0,name_first_word_fincas,fincas martin sanz,fincas martin sanz,27280,17912,125,2
Fleischerei Kirchheiligen,Fleischerei Kirchheilingen,1.0,name_first_word_fleischerei,fleischerei kirchheiligen,fleischerei kirchheilingen,29714,7732,126,10
Flint Gastroenterology Associates,Flint Gastroenterology Associates,1.0,name_first_word_flint,flint gastroenterology associates,flint gastroenterology associates,2824,13322,127,2
F.M.B. Bauernschmidt,F.M.B. Bauernschmidt,1.0,name_first_word_fmb,fmb bauernschmidt,fmb bauernschmidt,26636,30263,128,5
Fortacessorios,Fortacessorios,1.0,name_first_word_fortacessorios,fortacessorios,fortacessorios,20409,5551,129,3
Fortune 4U Global,Fortune 4U Global,1.0,name_first_word_fortune,fortune 4u global,fortune 4u global,25741,22567,130,2
Funda̤̣o Cultural De Blumenau,Funda̤̣o Cultural De Blumenau,1.0,name_first_word_fundao,fundao cultural de blumenau,fundao cultural de blumenau,28405,23751,132,4
Fusspflege & Kosmetik Barg,Fusspflege & Kosmetik Barg,1.0,name_first_word_fusspflege,fusspflege kosmetik barg,fusspflege kosmetik barg,25062,11447,133,2
G2INVEST,G2INVEST,1.0,name_first_word_g2invest,g2invest,g2invest,26397,19390,134,2
Gasthaus Meinradsberg,Gasthaus Meinradsberg,1.0,name_first_word_gasthaus,gasthaus meinradsberg,gasthaus meinradsberg,19781,15574,135,6
G.Comp Componentes,Gcomp Componentes,1.0,name_first_word_gcomp,gcomp componentes,gcomp componentes,10851,22198,136,3
Gemeindeverwaltung Strengelbach,Gemeindeverwaltung Strengelbach,1.0,name_first_word_gemeindeverwaltung,gemeindeverwaltung strengelbach,gemeindeverwaltung strengelbach,14761,24263,137,7
Gerhard Fichter Rechtsanwälte,Gerhard Fichter Rechtsanwälte,1.0,name_first_word_gerhard,gerhard fichter rechtsanwalte,gerhard fichter rechtsanwalte,9488,24780,138,2
Germans Boada,Germans Boada S.A.,1.0,name_first_word_germans,germans boada,germans boada sa,3708,6358,139,3
Gila Rogers,Gila Rogers,1.0,name_first_word_gila,gila rogers,gila rogers,2632,23067,140,2
GIRO,GIRO,1.0,name_first_word_giro,giro,giro,18976,32676,141,2
Glas zapadne Srbije,Glas Zapadne Srbije,1.0,name_first_word_glas,glas zapadne srbije,glas zapadne srbije,15498,21423,142,2
Göhrig Uhrmachermeister,Göhrig Uhrmachermeister,1.0,name_first_word_gohrig,gohrig uhrmachermeister,gohrig uhrmachermeister,15971,6470,143,2
GPSHorlogeKids,GPSHorlogeKids,1.0,name_first_word_gpshorlogekids,gpshorlogekids,gpshorlogekids,4856,19654,144,2
Grady-Fisher Funeral Homes,Grady-Fisher Funeral Homes,1.0,name_first_word_gradyfisher,gradyfisher funeral homes,gradyfisher funeral homes,16464,30565,145,2
GSU Insurance Services,GSU Insurance Services,1.0,name_first_word_gsu,gsu insurance services,gsu insurance services,16869,32646,146,3
Gtli,GTLI,1.0,name_first_word_gtli,gtli,gtli,25572,27629,147,5
GUZZARDO PARTNERSHIP INC.,Guzzardo Partnership Inc.,1.0,name_first_word_guzzardo,guzzardo partnership inc,guzzardo partnership inc,13539,20950,148,2
Happiness Creation Co. Ltd.,Happiness Creation,1.0,name_first_word_happiness,happiness creation co ltd,happiness creation,18444,27501,149,2
Hareshaw Linn Caravan Park,Hareshaw Linn Caravan Park,1.0,name_first_word_hareshaw,hareshaw linn caravan park,hareshaw linn caravan park,11938,16951,150,2
Heimer Concept GmbH,Heimer Concept Gmbh,1.0,name_first_word_heimer,heimer concept,heimer concept,22076,4541,152,2
Henriette-Davidis-Museum,Henriette-Davidis-Museum,1.0,name_first_word_henriettedavidismuseum,henriettedavidismuseum,henriettedavidismuseum,10641,25126,154,3
Herrenbekleidung Ahlert,Herrenbekleidung Ahlert,1.0,name_first_word_herrenbekleidung,herrenbekleidung ahlert,herrenbekleidung ahlert,24844,30775,155,2
Hölscher Jürgen Dipl.-Ing.,Hölscher Jürgen Dipl.-Ing.,1.0,name_first_word_holscher,holscher jurgen dipling,holscher jurgen dipling,32024,24707,156,2
HOTLIPS Pizza,HOTLIPS Pizza,1.0,name_first_word_hotlips,hotlips pizza,hotlips pizza,27336,20057,157,2
Houseofreeves,Houseofreeves,1.0,name_first_word_houseofreeves,houseofreeves,houseofreeves,7882,25574,158,2
Hundezentrum DOGood,Hundezentrum DOGood,1.0,name_first_word_hundezentrum,hundezentrum dogood,hundezentrum dogood,5149,22431,160,2
Hwy. Paving Transport Llc,Hwy. Paving Transport Llc,1.0,name_first_word_hwy,hwy paving transport,hwy paving transport,8921,28278,161,2
IAB GMBH,IAB - GmbH,1.0,name_first_word_iab,iab,iab,31720,8065,162,3
Ibm,Ibm,1.0,name_first_word_ibm,ibm,ibm,5483,21932,164,2
Idea - Team Consultoria Empresarial,Idea - Team Consultoria Empresarial,1.0,name_first_word_idea,idea team consultoria empresarial,idea team consultoria empresarial,7960,25707,165,2
IKRAKETA,Ikraketa,1.0,name_first_word_ikraketa,ikraketa,ikraketa,31832,25483,166,2
Iletaitunefois,Iletaitunefois,1.0,name_first_word_iletaitunefois,iletaitunefois,iletaitunefois,16200,12980,167,2
Ingrid D. Johnson MD FAAP,"Ingrid D. Johnson, MD, FAAP",1.0,name_first_word_ingrid,ingrid d johnson md faap,ingrid d johnson md faap,3955,27525,170,2
Inter-Section Auto,Inter-Section Auto,1.0,name_first_word_intersection,intersection auto,intersection auto,18832,9025,172,2
IPG ABOGADOS,IPG abogados,1.0,name_first_word_ipg,ipg abogados,ipg abogados,7404,1927,173,2
ITA-Goldwaren GmbH,ITA-GOLDWAREN GMBH,1.0,name_first_word_itagoldwaren,itagoldwaren,itagoldwaren,4936,30301,174,4
It|tactics,Ittactics,1.0,name_first_word_ittactics,ittactics,ittactics,29611,8892,175,4
IVC Brasil,IVC Brasil,1.0,name_first_word_ivc,ivc brasil,ivc brasil,4522,31884,176,2
Jacksonville Newborn Photographer - Alyssa Renee Photography,Jacksonville Newborn Photographer - Alyssa Renee Photography,1.0,name_first_word_jacksonville,jacksonville newborn photographer alyssa renee photography,jacksonville newborn photographer alyssa renee photography,18625,23859,177,2
Jasper Reiniging Service,Jasper Reiniging Service,1.0,name_first_word_jasper,jasper reiniging service,jasper reiniging service,25400,4737,178,2
Jki glass company,Jki glass company,1.0,name_first_word_jki,jki glass,jki glass,29740,13071,179,2
JonathanCainer,JonathanCainer,1.0,name_first_word_jonathancainer,jonathancainer,jonathancainer,8499,23278,180,2
"Josh Dean - Associate Financial Advisor, Ameriprise Financial Services, LLC","Josh Dean - Associate Financial Advisor, Ameriprise Financial Services, LLC",1.0,name_first_word_josh,josh dean associate financial advisor ameriprise financial services,josh dean associate financial advisor ameriprise financial services,25004,1727,181,2
Jungle Nails,Jungle Nails,1.0,name_first_word_jungle,jungle nails,jungle nails,12024,9648,182,2
Jungle-Nails Merksem,Jungle-Nails Merksem,1.0,name_first_word_junglenails,junglenails merksem,junglenails merksem,8912,28189,183,2
Kabel Kolb,Kabel Kolb,1.0,name_first_word_kabel,kabel kolb,kabel kolb,2482,28694,184,5
Kebab House,Kebab House,1.0,name_first_word_kebab,kebab house,kebab house,32345,25197,185,2
Kingsclere Court,Kingsclere Court,1.0,name_first_word_kingsclere,kingsclere court,kingsclere court,25864,28198,186,2
Kleinschalige Woon Zorg Projecten BV.,Kleinschalige Woon Zorg Projecten BV.,1.0,name_first_word_kleinschalige,kleinschalige woon zorg projecten bv,kleinschalige woon zorg projecten bv,7484,29214,187,2
Knackwurstprofi,Knackwurstprofi,1.0,name_first_word_knackwurstprofi,knackwurstprofi,knackwurstprofi,3538,25710,126,10
Konstandinidis,Konstandinidis,1.0,name_first_word_konstandinidis,konstandinidis,konstandinidis,22974,11903,189,6
KONSTANTINIDES CONFECTIONERY,KONSTANTINIDES CONFECTIONERY,1.0,name_first_word_konstantinides,konstantinides confectionery,konstantinides confectionery,28748,26372,189,6
Konstantinidis,Konstantinidis,1.0,name_first_word_konstantinidis,konstantinidis,konstantinidis,19915,18535,189,6
KREATOR MARKI,Kreator Marki,1.0,name_first_word_kreator,kreator marki,kreator marki,11164,32279,190,5
Kulturhaus Neuperlach,Kulturhaus Neuperlach,1.0,name_first_word_kulturhaus,kulturhaus neuperlach,kulturhaus neuperlach,29696,22898,192,5
LaBahia Antique Show,LaBahia Antique Show,1.0,name_first_word_labahia,labahia antique show,labahia antique show,13569,15219,195,2
Lakewood Family YMCA,Lakewood Family YMCA,1.0,name_first_word_lakewood,lakewood family ymca,lakewood family ymca,27354,10206,196,2
Landlocked Forest,Landlocked Forest,1.0,name_first_word_landlocked,landlocked forest,landlocked forest,17296,30637,197,2
L.Barg Fußpflege & Kosmetik,L.Barg Fußpflege & Kosmetik,1.0,name_first_word_lbarg,lbarg fusspflege kosmetik,lbarg fusspflege kosmetik,32200,998,199,2
Learn Silver Clay,Learn Silver Clay,1.0,name_first_word_learn,learn silver clay,learn silver clay,12394,28171,200,2
Learning Community Charter School,Learning Community Charter School,1.0,name_first_word_learning,learning community charter school,learning community charter school,15540,7239,201,2
Leather Solution,Leather Solution,1.0,name_first_word_leather,leather solution,leather solution,11000,7341,202,2
Lézignan Sangliers,Lézignan Sangliers,1.0,name_first_word_lezignan,lezignan sangliers,lezignan sangliers,26528,12004,203,2
Link Builders Team,Link Builders Team,1.0,name_first_word_link,link builders team,link builders team,27562,15252,204,2
Lionsheart student care,Lionsheart student care,1.0,name_first_word_lionsheart,lionsheart student care,lionsheart student care,14352,17167,205,2
Loud Bids,Loud Bids,1.0,name_first_word_loud,loud bids,loud bids,13240,15316,207,5
Louisarden,Louisarden,1.0,name_first_word_louisarden,louisarden,louisarden,29185,3300,208,3
Lubbock Breakfast House,Lubbock Breakfast House,1.0,name_first_word_lubbock,lubbock breakfast house,lubbock breakfast house,23676,30014,209,2
Lubricentro Toherba,Lubricentro Toherba,1.0,name_first_word_lubricentro,lubricentro toherba,lubricentro toherba,8330,31311,210,2
MADRacingNL,MADRacingNL,1.0,name_first_word_madracingnl,madracingnl,madracingnl,13624,4850,211,5
Mahour Co.,Mahour Co.,1.0,name_first_word_mahour,mahour co,mahour co,26884,9134,212,2
Malaysian Society of Rheumatology,Malaysian Society of Rheumatology,1.0,name_first_word_malaysian,malaysian society of rheumatology,malaysian society of rheumatology,17754,18085,213,2
Manchesterot,Manchesterot,1.0,name_first_word_manchesterot,manchesterot,manchesterot,15645,7231,214,6
Marita Wenning-Schmirler Wein und Öl vom Fass,Marita Wenning-Schmirler Wein und Öl vom Fass,1.0,name_first_word_marita,marita wenningschmirler wein und ol vom fass,marita wenningschmirler wein und ol vom fass,17661,12326,215,2
Massimo's Italian Fallsview Restaurant,Massimo’s Italian Fallsview Restaurant,1.0,name_first_word_massimos,massimos italian fallsview restaurant,massimos italian fallsview restaurant,24881,10513,216,2
Matsudasangyo Musashikojo,Matsudasangyo Irumakojo,1.0,name_first_word_matsudasangyo,matsudasangyo musashikojo,matsudasangyo irumakojo,23123,5822,217,4
Maurizio Camin,Maurizio Camin,1.0,name_first_word_maurizio,maurizio camin,maurizio camin,20233,10410,218,2
MERCADO47,Mercado47,1.0,name_first_word_mercado47,mercado47,mercado47,27961,20643,220,2
Metropolitan Raum Zürich Nachhaltige Bauten,Metropolitan Raum Zürich Nachhaltige Bauten,1.0,name_first_word_metropolitan,metropolitan raum zurich nachhaltige bauten,metropolitan raum zurich nachhaltige bauten,6171,26644,221,2
Meyer3D,Meyer3D,1.0,name_first_word_meyer3d,meyer3d,meyer3d,13825,10324,222,2
MFMR,MFMR,1.0,name_first_word_mfmr,mfmr,mfmr,19848,22434,223,2
Michaelsivillfunerals,Michaelsivillfunerals,1.0,name_first_word_michaelsivillfunerals,michaelsivillfunerals,michaelsivillfunerals,11152,22199,224,2
Mikhailenko,Mikhailenko,1.0,name_first_word_mikhailenko,mikhailenko,mikhailenko,29405,29277,225,3
Mooi Muf,Mooi Muf,1.0,name_first_word_mooi,mooi muf,mooi muf,12104,2190,226,4
Moontidemedia,Moontidemedia,1.0,name_first_word_moontidemedia,moontidemedia,moontidemedia,12179,2116,227,4
Moving Supplies at U-Haul,Moving Supplies at U-Haul,1.0,name_first_word_moving,moving supplies at uhaul,moving supplies at uhaul,21968,33397,228,2
Mulino Caputo,Mulino Caputo,1.0,name_first_word_mulino,mulino caputo,mulino caputo,16210,28141,230,3
Natalias Reisebüro,Natalias Reisebüro,1.0,name_first_word_natalias,natalias reiseburo,natalias reiseburo,24104,22719,231,2
Naukri Junction,Naukri Junction,1.0,name_first_word_naukri,naukri junction,naukri junction,22625,29830,233,5
NEATH GOSPEL HALL,Neath Gospel Hall,1.0,name_first_word_neath,neath gospel hall,neath gospel hall,6665,18890,234,2
Nicoleta Radoianu,Nicoleta Radoianu,1.0,name_first_word_nicoleta,nicoleta radoianu,nicoleta radoianu,3761,4694,235,2
No1 West Street,No1 West Street,1.0,name_first_word_no1,no1 west street,no1 west street,16721,25022,236,2
Oaklands at The Riverbend Inn,Oaklands at The Riverbend Inn,1.0,name_first_word_oaklands,oaklands at the riverbend inn,oaklands at the riverbend inn,26880,5490,238,2
Optika Treviso,Optika Treviso,1.0,name_first_word_optika,optika treviso,optika treviso,20360,16598,239,8
Osteria La Quercia,Osteria La Quercia,1.0,name_first_word_osteria,osteria la quercia,osteria la quercia,25745,2021,240,2
Pallotti Early Learning Center,Pallotti Early Learning Center,1.0,name_first_word_pallotti,pallotti early learning center,pallotti early learning center,17424,29975,242,2
Pannenkoekenhuis Princenhof,Pannenkoekenhuis Princenhof,1.0,name_first_word_pannenkoekenhuis,pannenkoekenhuis princenhof,pannenkoekenhuis princenhof,7539,4327,243,2
Patty Stephens Phd LMSW,Patty Stephens Phd LMSW,1.0,name_first_word_patty,patty stephens phd lmsw,patty stephens phd lmsw,30744,3590,244,2
PieterWijtenburg Training & Coaching,PieterWijtenburg Training & Coaching,1.0,name_first_word_pieterwijtenburg,pieterwijtenburg training coaching,pieterwijtenburg training coaching,22086,32775,245,2
Pixelnet media,Pixelnet media,1.0,name_first_word_pixelnet,pixelnet media,pixelnet media,30232,23827,246,3
Pollos Pablo VI,Pollos Pablo VI,1.0,name_first_word_pollos,pollos pablo vi,pollos pablo vi,16530,9669,247,2
Priyadarshni Mobile,Priyadarshni Mobile,1.0,name_first_word_priyadarshni,priyadarshni mobile,priyadarshni mobile,28912,9140,248,4
Products by O2 Inc.,PRODUCTS BY O2 INC.,1.0,name_first_word_products,products by o2 inc,products by o2 inc,32210,12051,249,2
Projet Immigration Cap Canada - PI2C,Projet Immigration Cap Canada - PI2C,1.0,name_first_word_projet,projet immigration cap canada pi2c,projet immigration cap canada pi2c,13252,32046,250,2
protected Cox Photography,protected Cox Photography,1.0,name_first_word_protected,protected cox photography,protected cox photography,26368,1526,251,2
PUC Campinas,PUC Campinas,1.0,name_first_word_puc,puc campinas,puc campinas,29037,1071,252,2
Qural Saiman,Qural Saiman,1.0,name_first_word_qural,qural saiman,qural saiman,10873,22698,254,4
QwikStix,QwikStix,1.0,name_first_word_qwikstix,qwikstix,qwikstix,19675,7423,255,2
RAP,Rap,1.0,name_first_word_rap,rap,rap,30958,10262,257,6
Rashell Bastan Beauty,Rashell Bastan Beauty,1.0,name_first_word_rashell,rashell bastan beauty,rashell bastan beauty,4875,18582,258,2
Rathfriland Presbyterian,Rathfriland Presbyterian,1.0,name_first_word_rathfriland,rathfriland presbyterian,rathfriland presbyterian,25344,7866,259,2
Reich,Reich,1.0,name_first_word_reich,reich,reich,8747,9427,261,3
Reinhard Dentistry,Reinhard Dentistry,1.0,name_first_word_reinhard,reinhard dentistry,reinhard dentistry,19269,32487,262,2
Relais & Châteaux Hotel Burg Schwarzenstein,Relais & Châteaux Hotel Burg Schwarzenstein,1.0,name_first_word_relais,relais chateaux hotel burg schwarzenstein,relais chateaux hotel burg schwarzenstein,16320,11511,263,2
RELIUS Benelux,RELIUS Benelux,1.0,name_first_word_relius,relius benelux,relius benelux,20261,13262,264,2
Rena Saunier - Big Sky Properties Of Montana Inc.,Rena Saunier - Big Sky Properties Of Montana Inc.,1.0,name_first_word_rena,rena saunier big sky properties of montana inc,rena saunier big sky properties of montana inc,25600,33378,265,2
Renton Rotary Food Bank,Renton Rotary Food Bank,1.0,name_first_word_renton,renton rotary food bank,renton rotary food bank,19971,2831,266,2
RESERVAR Y VIAJAR SL.,RESERVAR Y VIAJAR SL.,1.0,name_first_word_reservar,reservar y viajar sl,reservar y viajar sl,3205,12862,267,2
Rich`N Greens,Rich'N Greens,1.0,name_first_word_richn,richn greens,richn greens,21006,3823,268,8
RichnGreens,RichnGreens,1.0,name_first_word_richngreens,richngreens,richngreens,17705,17866,268,8
Rivington Of Pembroke Inc.,Rivington Of Pembroke Inc.,1.0,name_first_word_rivington,rivington of pembroke inc,rivington of pembroke inc,28406,11879,269,2
Rosa Dent,"""Rosa Dent""",1.0,name_first_word_rosa,rosa dent,rosa dent,21899,14165,272,2
Rotorua Realtor,Rotorua Realtor,1.0,name_first_word_rotorua,rotorua realtor,rotorua realtor,28115,28911,273,2
RUTILÉIA IMÓVEIS,Rutileia Imóveis,1.0,name_first_word_rutileia,rutileia imoveis,rutileia imoveis,1258,17636,274,4
Ryozen Jisho,Ryozen Jisho,1.0,name_first_word_ryozen,ryozen jisho,ryozen jisho,15729,21477,275,3
Safehands Diagnostics,Safehands Diagnostics,1.0,name_first_word_safehands,safehands diagnostics,safehands diagnostics,633,21550,276,3
Satish Joshi Guruji Marriage Astrologer,Satish Joshi Guruji Marriage Astrologer,1.0,name_first_word_satish,satish joshi guruji marriage astrologer,satish joshi guruji marriage astrologer,24667,21196,278,2
Schaarschmidt Malerbetrieb,Schaarschmidt Malerbetrieb,1.0,name_first_word_schaarschmidt,schaarschmidt malerbetrieb,schaarschmidt malerbetrieb,3807,32575,279,2
SCHLOSS GREISSLEREI,Schloss Greisslerei,1.0,name_first_word_schloss,schloss greisslerei,schloss greisslerei,22344,4581,280,5
Sefaz - Simões Filho,Sefaz - Simões Filho,1.0,name_first_word_sefaz,sefaz simoes filho,sefaz simoes filho,7781,3534,281,2
Self-Storage at U-Haul,Self-Storage at U-Haul,1.0,name_first_word_selfstorage,selfstorage at uhaul,selfstorage at uhaul,22481,19179,282,2
Shakti Shiva Magnets Private Limited,Shakti Shiva Magnets Private Limited,1.0,name_first_word_shakti,shakti shiva magnets private,shakti shiva magnets private,3858,6159,283,2
SiamSiam Brighton,SiamSiam Brighton,1.0,name_first_word_siamsiam,siamsiam brighton,siamsiam brighton,22513,28607,286,3
Signssouthwest,Signssouthwest,1.0,name_first_word_signssouthwest,signssouthwest,signssouthwest,689,13586,287,2
SoftServe Inc. PPGMAGILL PTY.LTD.,SoftServe Inc. PPGMAGILL PTY.LTD.,1.0,name_first_word_softserve,softserve inc ppgmagill ptyltd,softserve inc ppgmagill ptyltd,26536,13086,288,2
Sorobantei,Sorobantei,1.0,name_first_word_sorobantei,sorobantei,sorobantei,14754,29661,289,2
SREAD,SREAD,1.0,name_first_word_sread,sread,sread,31233,24654,290,5
SSP Products,SSP Products,1.0,name_first_word_ssp,ssp products,ssp products,9331,18038,291,4
SSP-Products,SspProducts,1.0,name_first_word_sspproducts,sspproducts,sspproducts,1716,27934,291,4
Sterne Ferienwohnung Krabbentaucher,Sterne Ferienwohnung Krabbentaucher,1.0,name_first_word_sterne,sterne ferienwohnung krabbentaucher,sterne ferienwohnung krabbentaucher,31556,5964,292,2
Stoneks,Stoneks,1.0,name_first_word_stoneks,stoneks,stoneks,11874,9302,293,2
Stoneworx,Stoneworx,1.0,name_first_word_stoneworx,stoneworx,stoneworx,26976,7728,294,5
Strojpartner,Strojpartner,1.0,name_first_word_strojpartner,strojpartner,strojpartner,17840,30407,296,4
Strommastendownhill Karlsruhe,Strommastendownhill Karlsruhe,1.0,name_first_word_strommastendownhill,strommastendownhill karlsruhe,strommastendownhill karlsruhe,6748,10303,297,2
Stroypartner,Stroypartner,1.0,name_first_word_stroypartner,stroypartner,stroypartner,18833,13508,296,4
SugArena,SugArena,1.0,name_first_word_sugarena,sugarena,sugarena,9859,17743,298,2
Sundicators,Sundicators,1.0,name_first_word_sundicators,sundicators,sundicators,11946,26460,299,2
Sweet Secret,Sweet Secret,1.0,name_first_word_sweet,sweet secret,sweet secret,33273,21358,300,2
TAMUCT,Tamuct,1.0,name_first_word_tamuct,tamuct,tamuct,736,2213,301,2
Tarsistax,Tarsistax,1.0,name_first_word_tarsistax,tarsistax,tarsistax,27162,26479,302,2
Taxi700,Taxi700,1.0,name_first_word_taxi700,taxi700,taxi700,26905,283,303,3
Tbc Integration Inc.,TBC INTEGRATION INC.,1.0,name_first_word_tbc,tbc integration inc,tbc integration inc,19836,24245,304,2
Techsell India,TechSell India,1.0,name_first_word_techsell,techsell india,techsell india,25505,14974,305,6
TECNO industrial Group,TECNO industrial Group,1.0,name_first_word_tecno,tecno industrial group,tecno industrial group,5123,10179,306,2
Thetidescaregroup,Thetidescaregroup,1.0,name_first_word_thetidescaregroup,thetidescaregroup,thetidescaregroup,23039,21223,307,2
Toco Toco Tea,Toco Toco Tea,1.0,name_first_word_toco,toco toco tea,toco toco tea,26464,30773,308,2
Tournage sur Bois CHIROUZE Cider Décoration,Tournage sur Bois CHIROUZE Cider Décoration,1.0,name_first_word_tournage,tournage sur bois chirouze cider decoration,tournage sur bois chirouze cider decoration,13962,16446,311,2
TownSq,TownSq,1.0,name_first_word_townsq,townsq,townsq,6149,1575,312,3
Toys“R”Us,Toys“R”Us,1.0,name_first_word_toysrus,toysrus,toysrus,24624,20515,313,2
Traf Tractors and Machinery,Traf Tractors and Machinery,1.0,name_first_word_traf,traf tractors and machinery,traf tractors and machinery,21352,7614,314,2
Treat Direct,Treat Direct,1.0,name_first_word_treat,treat direct,treat direct,6667,24236,315,4
TreatDirect,TreatDirect,1.0,name_first_word_treatdirect,treatdirect,treatdirect,11836,8191,315,4
Tribu.hair,Tribu.hair,1.0,name_first_word_tribuhair,tribuhair,tribuhair,13320,31660,316,2
Tricolor TV,Tricolor TV,1.0,name_first_word_tricolor,tricolor tv,tricolor tv,29193,7234,317,2
Truck Sales at U-Haul,Truck Sales at U-Haul,1.0,name_first_word_truck,truck sales at uhaul,truck sales at uhaul,30382,31974,318,2
Try Gliding,Try Gliding,1.0,name_first_word_try,try gliding,try gliding,15456,23973,319,2
Tuweitalia,Tuweitalia,1.0,name_first_word_tuweitalia,tuweitalia,tuweitalia,4371,22908,320,3
Uhakplanner,Uhakplanner,1.0,name_first_word_uhakplanner,uhakplanner,uhakplanner,21107,1726,321,2
Uíki Parracho,Uiki Parracho,1.0,name_first_word_uiki,uiki parracho,uiki parracho,19234,1667,322,4
Ukayexpress,Ukayexpress,1.0,name_first_word_ukayexpress,ukayexpress,ukayexpress,26618,1277,323,5
Ulmer Hundeschule,Ulmer Hundeschule,1.0,name_first_word_ulmer,ulmer hundeschule,ulmer hundeschule,11769,23083,324,4
Unipol Rental,Unipol Rental,1.0,name_first_word_unipol,unipol rental,unipol rental,5457,15677,325,5
Uniting Church in Sweden,Uniting Church in Sweden,1.0,name_first_word_uniting,uniting church in sweden,uniting church in sweden,7286,14255,326,2
User-Friendly Compting,User-Friendly Computing,1.0,name_first_word_userfriendly,userfriendly compting,userfriendly computing,32282,21774,327,2
Vermessung Ihrer,Vermessung Ihrer,1.0,name_first_word_vermessung,vermessung ihrer,vermessung ihrer,6925,15989,328,4
Vermessungsbüro Eichborn,Vermessungsbüro Eichborn,1.0,name_first_word_vermessungsburo,vermessungsburo eichborn,vermessungsburo eichborn,24856,21401,328,4
Vertico,VERTICO,1.0,name_first_word_vertico,vertico,vertico,5988,31279,329,4
Vilstrup massage,Vilstrup massage,1.0,name_first_word_vilstrup,vilstrup massage,vilstrup massage,21105,23933,330,2
ViolaStils,Viola-Stils,1.0,name_first_word_violastils,violastils,violastils,9925,2807,331,3
Vloer af vd,Vloer af vd,1.0,name_first_word_vloer,vloer af vd,vloer af vd,12258,740,332,2
Volunteer agency Marburg - Biedenkopf e.V.,Volunteer agency Marburg - Biedenkopf e.V.,1.0,name_first_word_volunteer,volunteer agency marburg biedenkopf ev,volunteer agency marburg biedenkopf ev,13675,17213,333,2
vwma,VWMA,1.0,name_first_word_vwma,vwma,vwma,978,10567,334,3
Wensley Architecture,Wensley Architecture,1.0,name_first_word_wensley,wensley architecture,wensley architecture,23794,14318,337,2
Wer Wie Wann,Wer Wie Wann,1.0,name_first_word_wer,wer wie wann,wer wie wann,2712,13730,338,2
Werwiewann,Werwiewann,1.0,name_first_word_werwiewann,werwiewann,werwiewann,30377,2883,339,3
WHISPA,WHISPA,1.0,name_first_word_whispa,whispa,whispa,18297,4989,340,3
WILDER ROOM,Wilder Room,1.0,name_first_word_wilder,wilder room,wilder room,5944,2827,341,4
WMJ INC. DBA GUAM HOME CENTER,WMJ INC. DBA GUAM HOME CENTER,1.0,name_first_word_wmj,wmj inc dba guam home center,wmj inc dba guam home center,2977,26495,342,2
Wonje Cha DDS,Wonje Cha DDS,1.0,name_first_word_wonje,wonje cha dds,wonje cha dds,291,12171,343,3
Woonzorgprojecten,Woonzorgprojecten,1.0,name_first_word_woonzorgprojecten,woonzorgprojecten,woonzorgprojecten,26442,484,344,2
Xiamen Yingliang Stone Co. Ltd.,Xiamen Yingliang Stone Co. Ltd.,1.0,name_first_word_xiamen,xiamen yingliang stone co ltd,xiamen yingliang stone co ltd,21113,3113,345,2
Xinmeige,Xinmeige,1.0,name_first_word_xinmeige,xinmeige,xinmeige,2273,26011,346,2
Youssefcomercio De Bijuterias E Suvenires,Youssefcomercio De Bijuterias E Suvenires,1.0,name_first_word_youssefcomercio,youssefcomercio de bijuterias e suvenires,youssefcomercio de bijuterias e suvenires,10508,25951,347,2
Zakharoplasteia KONSTANTINIDES,Zαχαροπλαστεία ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ,1.0,name_first_word_zakharoplasteia,zakharoplasteia konstantinides,zakharoplasteia konstantinides,26756,1356,348,9
Zamárdi-taxi,Zamárdi-taxi,1.0,name_first_word_zamarditaxi,zamarditaxi,zamarditaxi,549,32454,349,3
Zaunbau Hellmann,Zaunbau Hellmann,1.0,name_first_word_zaunbau,zaunbau hellmann,zaunbau hellmann,28784,32271,350,2
Frisson Digital,Frisson Digital,1.0,website_frissondigital,frisson digital,frisson digital,23846,150,351,2
Antigua Capilla Boutique Bed and Breakfast,Antigua Capilla Boutique Bed and Breakfast,1.0,website_accommodationssanmiguel,antigua capilla boutique bed and breakfast,antigua capilla boutique bed and breakfast,3806,511,352,2
Learnsilverclay,Learnsilverclay,1.0,website_learnsilverclayonlinecourses,learnsilverclay,learnsilverclay,3241,514,353,2
Seitz events,Seitz Events,1.0,website_seitzevents,seitz events,seitz events,1154,13587,356,5
Holistic Massage of Hood River,HOLISTIC MASSAGE OF HOOD RIVER,1.0,website_massagehoodriver,holistic massage of hood river,holistic massage of hood river,29612,1663,357,4
LoudBids,LoudBids,1.0,website_perfectdemographics,loudbids,loudbids,12301,1813,207,5
Raison D'être,Raison d'être,1.0,website_raisondetre,raison detre,raison detre,28336,2153,358,4
Medilink Chirurg JEVÍČKO,Medilink Chirurg Jevíčko,1.0,website_chirurgiejevicko,medilink chirurg jevicko,medilink chirurg jevicko,16282,2357,359,5
